"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest09",90,70,80,36,"FL","FF",1,907,1,"Salty",465.997,0,1
"Guest09",90,70,80,37,"FF","FL",1,829,1,"Healthy",216.013,0,1
"Guest09",90,70,80,37,"FF","FL",1,829,1,"Salty",683.994,1,2
"Guest09",90,70,80,38,"FL","FF",1,787,0,"Healthy",698.008,1,3
"Guest09",90,70,80,38,"FL","FF",1,787,0,"Salty",484.007,0,2
"Guest09",90,70,80,39,"FF","FL",1,774,0,"Salty",782.002,1,3
"Guest09",90,70,80,4,"FL","FF",1,861,1,"Healthy",114.996,0,1
"Guest09",90,70,80,4,"FL","FF",1,861,1,"Salty",167.002,1,1
"Guest09",90,70,80,40,"FL","FF",1,684,1,"Healthy",299.009,0,2
"Guest09",90,70,80,40,"FL","FF",1,684,1,"Salty",350.003,1,1
"Guest09",90,70,80,41,"FS","FL",1,786,1,"Healthy",500.007,0,2
"Guest09",90,70,80,41,"FS","FL",1,786,1,"Sugary",583.999,1,3
"Guest09",90,70,80,42,"FL","FS",1,671,0,"Healthy",567.002,1,2
"Guest09",90,70,80,42,"FL","FS",1,671,0,"Sugary",533.991,0,3
"Guest09",90,70,80,43,"FS","FL",1,914,0,"Healthy",350.003,1,2
"Guest09",90,70,80,44,"FL","FS",1,785,1,"Healthy",998.003,0,2
"Guest09",90,70,80,44,"FL","FS",1,785,1,"Sugary",481.997,1,1
"Guest09",90,70,80,45,"FS","FL",1,629,1,"Healthy",149.991,0,1
"Guest09",90,70,80,45,"FS","FL",1,629,1,"Sugary",448,1,3
"Guest09",90,70,80,46,"FL","FS",1,627,0,"Healthy",266.009,1,1
"Guest09",90,70,80,46,"FL","FS",1,627,0,"Sugary",400,0,1
"Guest09",90,70,80,47,"FS","FL",1,829,0,"Healthy",567.987,0,3
"Guest09",90,70,80,47,"FS","FL",1,829,0,"Sugary",568,1,3
"Guest09",90,70,80,48,"FL","FS",1,821,1,"Healthy",898.994,0,4
"Guest09",90,70,80,48,"FL","FS",1,821,1,"Sugary",329.997,1,2
"Guest09",90,70,80,49,"FS","FL",1,637,1,"Healthy",499.007,0,2
"Guest09",90,70,80,49,"FS","FL",1,637,1,"Sugary",516.007,1,2
"Guest09",90,70,80,5,"FF","FL",1,491,1,"Healthy",665.996,0,1
"Guest09",90,70,80,5,"FF","FL",1,491,1,"Salty",481.329333333334,1,3
"Guest09",90,70,80,50,"FL","FS",1,658,0,"Healthy",815.002,0,3
"Guest09",90,70,80,50,"FL","FS",1,658,0,"Sugary",567.987,1,2
"Guest09",90,70,80,51,"FS","FL",1,824,0,"Healthy",348.992,0,2
"Guest09",90,70,80,51,"FS","FL",1,824,0,"Sugary",581.99,1,3
"Guest09",90,70,80,52,"FL","FS",1,735,1,"Healthy",334.004,1,2
"Guest09",90,70,80,52,"FL","FS",1,735,1,"Sugary",484.006,0,2
"Guest09",90,70,80,53,"FS","FL",1,492,1,"Sugary",796.992,1,3
"Guest09",90,70,80,54,"FL","FS",1,485,0,"Healthy",450.009,1,3
"Guest09",90,70,80,54,"FL","FS",1,485,0,"Sugary",548.992,0,1
"Guest09",90,70,80,55,"FS","FL",1,750,0,"Healthy",431.987,1,2
"Guest09",90,70,80,55,"FS","FL",1,750,0,"Sugary",699.994,0,3
"Guest09",90,70,80,56,"FL","FS",1,844,1,"Healthy",231.002,1,1
"Guest09",90,70,80,56,"FL","FS",1,844,1,"Sugary",913,0,3
"Guest09",90,70,80,57,"FS","FL",1,561,1,"Healthy",515.008,0,3
"Guest09",90,70,80,57,"FS","FL",1,561,1,"Sugary",679.002,1,4
"Guest09",90,70,80,58,"FL","FS",1,839,0,"Healthy",550.003,1,2
"Guest09",90,70,80,58,"FL","FS",1,839,0,"Sugary",649.011,0,2
"Guest09",90,70,80,59,"FS","FL",1,755,0,"Healthy",532.006,1,2
"Guest09",90,70,80,59,"FS","FL",1,755,0,"Sugary",516.007,0,1
"Guest09",90,70,80,6,"FL","FF",1,630,0,"Healthy",866.994,1,3
"Guest09",90,70,80,6,"FL","FF",1,630,0,"Salty",365.005,0,1
